,ds,y
0,2022-12-31 23:45:00,11
1,2022-12-31 23:30:00,14
2,2022-12-31 23:15:00,16
3,2022-12-31 23:00:00,14
4,2022-12-31 22:45:00,21
5,2022-12-31 22:30:00,22
6,2022-12-31 22:15:00,21
7,2022-12-31 22:00:00,23
8,2022-12-31 21:45:00,39
9,2022-12-31 21:30:00,40
10,2022-12-31 21:15:00,38
11,2022-12-31 21:00:00,39
12,2022-12-31 20:45:00,47
13,2022-12-31 20:30:00,48
14,2022-12-31 20:15:00,43
15,2022-12-31 20:00:00,49
16,2022-12-31 19:45:00,34
17,2022-12-31 19:30:00,31
18,2022-12-31 19:15:00,36
19,2022-12-31 19:00:00,35
20,2022-12-31 18:45:00,37
21,2022-12-31 18:30:00,35
22,2022-12-31 18:15:00,37
23,2022-12-31 18:00:00,40
24,2022-12-31 17:45:00,21
25,2022-12-31 17:30:00,22
26,2022-12-31 17:15:00,21
27,2022-12-31 17:00:00,25
28,2022-12-31 16:45:00,26
29,2022-12-31 16:30:00,23
30,2022-12-31 16:15:00,29
31,2022-12-31 16:00:00,31
32,2022-12-31 15:45:00,23
33,2022-12-31 15:30:00,24
34,2022-12-31 15:15:00,21
35,2022-12-31 15:00:00,31
36,2022-12-31 14:45:00,24
37,2022-12-31 14:30:00,29
38,2022-12-31 14:15:00,27
39,2022-12-31 14:00:00,27
40,2022-12-31 13:45:00,31
41,2022-12-31 13:30:00,40
42,2022-12-31 13:15:00,41
43,2022-12-31 13:00:00,21
44,2022-12-31 12:45:00,21
45,2022-12-31 12:30:00,33
46,2022-12-31 12:15:00,41
47,2022-12-31 12:00:00,40
48,2022-12-31 11:45:00,17
49,2022-12-31 11:30:00,14
50,2022-12-31 11:15:00,17
51,2022-12-31 11:00:00,18
52,2022-12-31 10:45:00,17
53,2022-12-31 10:30:00,16
54,2022-12-31 10:15:00,16
55,2022-12-31 10:00:00,15
56,2022-12-31 09:45:00,14
57,2022-12-31 09:30:00,12
58,2022-12-31 09:15:00,17
59,2022-12-31 09:00:00,12
60,2022-12-31 08:45:00,10
61,2022-12-31 08:30:00,7
62,2022-12-31 08:15:00,7
63,2022-12-31 08:00:00,10
64,2022-12-31 07:45:00,4
65,2022-12-31 07:30:00,2
66,2022-12-31 07:15:00,4
67,2022-12-31 07:00:00,5
68,2022-12-31 06:45:00,1
69,2022-12-31 06:30:00,3
70,2022-12-31 06:15:00,1
71,2022-12-31 06:00:00,1
72,2022-12-31 05:45:00,3
73,2022-12-31 05:30:00,2
74,2022-12-31 05:15:00,2
75,2022-12-31 05:00:00,3
76,2022-12-31 04:45:00,1
77,2022-12-31 04:30:00,1
78,2022-12-31 04:15:00,1
79,2022-12-31 04:00:00,1
80,2022-12-31 03:45:00,1
