,ds,y
0,2022-03-25 07:45:00,2
1,2022-03-25 07:30:00,4
2,2022-03-25 07:15:00,5
3,2022-03-25 07:00:00,5
4,2022-03-25 06:45:00,2
5,2022-03-25 06:30:00,3
6,2022-03-25 06:15:00,4
7,2022-03-25 06:00:00,2
8,2022-03-25 05:45:00,2
9,2022-03-25 05:30:00,1
10,2022-03-25 05:15:00,1
11,2022-03-25 05:00:00,3
12,2022-03-25 04:45:00,1
13,2022-03-25 04:30:00,1
14,2022-03-25 04:15:00,1
15,2022-03-25 04:00:00,1
16,2022-03-25 03:45:00,1
17,2022-03-25 03:30:00,1
18,2022-03-25 03:15:00,1
19,2022-03-25 03:00:00,1
20,2022-03-25 02:45:00,1
21,2022-03-25 02:30:00,1
22,2022-03-25 02:15:00,1
23,2022-03-25 02:00:00,1
24,2022-03-25 01:45:00,4
25,2022-03-25 01:30:00,6
26,2022-03-25 01:15:00,4
27,2022-03-25 01:00:00,3
28,2022-03-25 00:45:00,10
29,2022-03-25 00:30:00,10
30,2022-03-25 00:15:00,11
31,2022-03-25 00:00:00,6
32,2022-03-24 23:45:00,14
33,2022-03-24 23:30:00,14
34,2022-03-24 23:15:00,15
35,2022-03-24 23:00:00,11
36,2022-03-24 22:45:00,25
37,2022-03-24 22:30:00,24
38,2022-03-24 22:15:00,25
39,2022-03-24 22:00:00,22
40,2022-03-24 21:45:00,31
41,2022-03-24 21:30:00,34
42,2022-03-24 21:15:00,37
43,2022-03-24 21:00:00,37
44,2022-03-24 20:45:00,47
45,2022-03-24 20:30:00,49
46,2022-03-24 20:15:00,41
47,2022-03-24 20:00:00,51
48,2022-03-24 19:45:00,36
49,2022-03-24 19:30:00,39
50,2022-03-24 19:15:00,38
51,2022-03-24 19:00:00,40
52,2022-03-24 18:45:00,34
53,2022-03-24 18:30:00,40
54,2022-03-24 18:15:00,31
55,2022-03-24 18:00:00,31
56,2022-03-24 17:45:00,25
57,2022-03-24 17:30:00,22
58,2022-03-24 17:15:00,23
59,2022-03-24 17:00:00,22
60,2022-03-24 16:45:00,21
61,2022-03-24 16:30:00,29
62,2022-03-24 16:15:00,25
63,2022-03-24 16:00:00,25
64,2022-03-24 15:45:00,27
65,2022-03-24 15:30:00,21
66,2022-03-24 15:15:00,24
67,2022-03-24 15:00:00,24
68,2022-03-24 14:45:00,28
69,2022-03-24 14:30:00,26
70,2022-03-24 14:15:00,27
71,2022-03-24 14:00:00,28
72,2022-03-24 13:45:00,36
73,2022-03-24 13:30:00,25
74,2022-03-24 13:15:00,23
75,2022-03-24 13:00:00,26
76,2022-03-24 12:45:00,37
77,2022-03-24 12:30:00,29
78,2022-03-24 12:15:00,21
79,2022-03-24 12:00:00,37
80,2022-03-24 11:45:00,13
81,2022-03-24 11:30:00,16
82,2022-03-24 11:15:00,11
83,2022-03-24 11:00:00,18
84,2022-03-24 10:45:00,19
85,2022-03-24 10:30:00,14
86,2022-03-24 10:15:00,19
87,2022-03-24 10:00:00,14
88,2022-03-24 09:45:00,16
89,2022-03-24 09:30:00,20
90,2022-03-24 09:15:00,17
91,2022-03-24 09:00:00,18
92,2022-03-24 08:45:00,11
93,2022-03-24 08:30:00,11
94,2022-03-24 08:15:00,10
95,2022-03-24 08:00:00,11
96,2022-03-24 07:45:00,2
97,2022-03-24 07:30:00,5
98,2022-03-24 07:15:00,2
99,2022-03-24 07:00:00,3
100,2022-03-24 06:45:00,2
101,2022-03-24 06:30:00,3
102,2022-03-24 06:15:00,3
103,2022-03-24 06:00:00,1
104,2022-03-24 05:45:00,3
105,2022-03-24 05:30:00,2
106,2022-03-24 05:15:00,3
107,2022-03-24 05:00:00,1
108,2022-03-24 04:45:00,1
109,2022-03-24 04:30:00,1
110,2022-03-24 04:15:00,1
111,2022-03-24 04:00:00,1
112,2022-03-24 03:45:00,1
113,2022-03-24 03:30:00,1
114,2022-03-24 03:15:00,1
115,2022-03-24 03:00:00,1
116,2022-03-24 02:45:00,1
117,2022-03-24 02:30:00,1
118,2022-03-24 02:15:00,1
119,2022-03-24 02:00:00,1
120,2022-03-24 01:45:00,6
121,2022-03-24 01:30:00,2
122,2022-03-24 01:15:00,6
123,2022-03-24 01:00:00,3
124,2022-03-24 00:45:00,8
125,2022-03-24 00:30:00,8
126,2022-03-24 00:15:00,6
127,2022-03-24 00:00:00,10
128,2022-03-23 23:45:00,12
129,2022-03-23 23:30:00,13
130,2022-03-23 23:15:00,12
131,2022-03-23 23:00:00,15
132,2022-03-23 22:45:00,24
133,2022-03-23 22:30:00,25
134,2022-03-23 22:15:00,21
135,2022-03-23 22:00:00,25
136,2022-03-23 21:45:00,36
137,2022-03-23 21:30:00,40
138,2022-03-23 21:15:00,39
139,2022-03-23 21:00:00,32
140,2022-03-23 20:45:00,44
141,2022-03-23 20:30:00,48
142,2022-03-23 20:15:00,41
143,2022-03-23 20:00:00,44
144,2022-03-23 19:45:00,32
145,2022-03-23 19:30:00,38
146,2022-03-23 19:15:00,35
147,2022-03-23 19:00:00,31
