,ds,y
0,2023-06-27 23:45:00,13
1,2023-06-27 23:30:00,14
2,2023-06-27 23:15:00,13
3,2023-06-27 23:00:00,15
4,2023-06-27 22:45:00,23
5,2023-06-27 22:30:00,21
6,2023-06-27 22:15:00,25
7,2023-06-27 22:00:00,22
8,2023-06-27 21:45:00,31
9,2023-06-27 21:30:00,37
10,2023-06-27 21:15:00,39
11,2023-06-27 21:00:00,39
12,2023-06-27 20:45:00,45
13,2023-06-27 20:30:00,46
14,2023-06-27 20:15:00,44
15,2023-06-27 20:00:00,44
16,2023-06-27 19:45:00,37
17,2023-06-27 19:30:00,38
18,2023-06-27 19:15:00,36
19,2023-06-27 19:00:00,33
20,2023-06-27 18:45:00,37
21,2023-06-27 18:30:00,33
22,2023-06-27 18:15:00,38
23,2023-06-27 18:00:00,33
24,2023-06-27 17:45:00,25
25,2023-06-27 17:30:00,26
26,2023-06-27 17:15:00,24
27,2023-06-27 17:00:00,26
28,2023-06-27 16:45:00,24
29,2023-06-27 16:30:00,31
30,2023-06-27 16:15:00,29
31,2023-06-27 16:00:00,27
32,2023-06-27 15:45:00,24
33,2023-06-27 15:30:00,31
34,2023-06-27 15:15:00,31
35,2023-06-27 15:00:00,23
36,2023-06-27 14:45:00,29
37,2023-06-27 14:30:00,30
38,2023-06-27 14:15:00,27
39,2023-06-27 14:00:00,21
40,2023-06-27 13:45:00,36
41,2023-06-27 13:30:00,36
42,2023-06-27 13:15:00,30
43,2023-06-27 13:00:00,21
44,2023-06-27 12:45:00,30
45,2023-06-27 12:30:00,37
46,2023-06-27 12:15:00,29
47,2023-06-27 12:00:00,28
48,2023-06-27 11:45:00,11
49,2023-06-27 11:30:00,21
50,2023-06-27 11:15:00,17
51,2023-06-27 11:00:00,20
52,2023-06-27 10:45:00,11
53,2023-06-27 10:30:00,21
54,2023-06-27 10:15:00,15
55,2023-06-27 10:00:00,17
56,2023-06-27 09:45:00,17
57,2023-06-27 09:30:00,13
58,2023-06-27 09:15:00,20
59,2023-06-27 09:00:00,20
60,2023-06-27 08:45:00,9
61,2023-06-27 08:30:00,8
62,2023-06-27 08:15:00,10
63,2023-06-27 08:00:00,11
64,2023-06-27 07:45:00,5
65,2023-06-27 07:30:00,2
66,2023-06-27 07:15:00,4
67,2023-06-27 07:00:00,4
68,2023-06-27 06:45:00,2
69,2023-06-27 06:30:00,4
70,2023-06-27 06:15:00,1
71,2023-06-27 06:00:00,1
72,2023-06-27 05:45:00,2
73,2023-06-27 05:30:00,1
74,2023-06-27 05:15:00,3
75,2023-06-27 05:00:00,1
76,2023-06-27 04:45:00,1
77,2023-06-27 04:30:00,1
78,2023-06-27 04:15:00,1
79,2023-06-27 04:00:00,1
80,2023-06-27 03:45:00,1
81,2023-06-27 03:30:00,1
82,2023-06-27 03:15:00,1
83,2023-06-27 03:00:00,1
84,2023-06-27 02:45:00,1
85,2023-06-27 02:30:00,1
86,2023-06-27 02:15:00,1
87,2023-06-27 02:00:00,1
88,2023-06-27 01:45:00,5
89,2023-06-27 01:30:00,1
90,2023-06-27 01:15:00,2
91,2023-06-27 01:00:00,3
92,2023-06-27 00:45:00,11
93,2023-06-27 00:30:00,6
94,2023-06-27 00:15:00,10
95,2023-06-27 00:00:00,9
96,2023-06-26 23:45:00,15
97,2023-06-26 23:30:00,11
98,2023-06-26 23:15:00,11
